id	sym	A2058_Control_1_RNA	A2058_Control_2_RNA	A2058_Control_3_RNA	A2058_VitC_1_RNA	A2058_VitC_2_RNA	A2058_VitC_3_RNA
ENSG00000266775	RP11-218M11.6	0	1	0	0	0	0
ENSG00000266776	MIR4646	0	0	0	0	0	0
ENSG00000266777	SH3GL1P1	5	5	2	5	13	0
ENSG00000266780	MIR4444-1	0	0	0	0	0	0
ENSG00000266782	MIR3663	0	0	0	0	0	0
ENSG00000266783	RP11-715F3.2	14	9	6	4	8	1
ENSG00000266786	LGALS9DP	0	1	0	0	0	1
ENSG00000266794	RN7SL7P	0	0	0	0	0	0
ENSG00000266801	RP11-521L9.2	6	9	8	11	17	8
ENSG00000266802	MIR4419A	0	0	0	0	0	0
ENSG00000266803	RP1-77H15.1	0	1	0	0	0	0
ENSG00000266805	RP11-61L19.1	9	9	4	8	12	6
ENSG00000266806	RP11-744K17.3	0	0	0	0	0	0
ENSG00000266807	MIR548H5	0	0	0	0	0	0
ENSG00000266808	MIR548AE1	1	0	0	1	0	1
ENSG00000266809	RP11-449D8.3	0	0	0	0	0	0
ENSG00000266818	RP11-454P7.1	3	1	0	0	2	2
ENSG00000266820	RP13-104F24.1	0	0	0	0	0	0
ENSG00000266821	RP11-6N17.2	0	0	2	0	1	0
ENSG00000266824	RP11-599B13.7	2	1	2	1	3	2
ENSG00000266826	CTD-2200P10.1	5	1	5	3	6	1
ENSG00000266827	MIR3689E	0	0	0	0	0	0
ENSG00000266828	RN7SL712P	0	0	0	0	0	0
ENSG00000266830	CTD-2008P7.8	1	0	0	1	1	0
ENSG00000266835	GAPLINC	69	57	31	75	63	64
ENSG00000266839	RP11-121A13.3	0	0	0	0	0	0
ENSG00000266840	RP11-543H23.2	3	0	2	1	0	0
ENSG00000266844	RP11-862L9.3	18	14	12	14	16	20
ENSG00000266846	RP11-793A3.2	0	0	3	2	2	0
ENSG00000266850	RP11-370A5.1	11	4	8	9	5	3
ENSG00000266852	MIR4482-1	1	0	0	1	2	2
ENSG00000266853	ITM2BP1	0	0	0	0	0	1
ENSG00000266855	MIR3910-1	0	0	0	0	0	0
ENSG00000266858	RPSAP67	0	0	0	0	1	0
ENSG00000266863	RN7SL123P	1	0	0	0	0	0
ENSG00000266865	RP11-848P1.9	16	6	1	11	6	3
ENSG00000266869	RP6-114E22.1	14	5	1	1	4	1
ENSG00000266872	RP11-19P22.8	1	0	0	0	0	0
ENSG00000266875	RN7SL408P	1	3	0	1	1	2
ENSG00000266876	RP11-1148O4.1	6	4	2	4	7	5
ENSG00000266877	RP1-41C23.1	2	0	0	0	1	0
ENSG00000266885	RP11-744K17.8	1	0	0	0	1	1
ENSG00000266887	MIR4535	0	0	0	0	0	0
ENSG00000266890	MIR4634	0	0	0	0	0	0
ENSG00000266891	RP11-692N5.2	0	0	0	2	0	2
ENSG00000266893	AC005616.1	0	0	0	0	0	0
ENSG00000266896	RP1-266L20.9	0	0	0	0	0	0
ENSG00000266897	AC005546.2	15	5	4	4	1	11
ENSG00000266899	AKR1B1P7	0	0	0	0	1	0
ENSG00000266900	RP11-173A16.2	30	37	18	35	46	24
ENSG00000266901	RP11-567M16.5	0	0	0	0	0	0
ENSG00000266903	CTB-171A8.1	46	28	29	17	31	10
ENSG00000266904	CTC-559E9.1	3	4	0	1	0	1
ENSG00000266905	RP11-1058N17.1	0	0	0	0	0	0
ENSG00000266906	AC005357.1	3	0	0	0	0	0
ENSG00000266907	AC006116.22	2	5	1	1	2	0
ENSG00000266908	RP5-1022P6.7	0	0	0	0	0	0
ENSG00000266909	SLC25A6P4	0	0	0	1	0	0
ENSG00000266910	CTC-448F2.6	9	6	14	12	20	6
ENSG00000266913	CTC-548K16.2	1	1	0	0	0	2
ENSG00000266915	MRPS5P4	0	0	0	0	0	0
ENSG00000266916	ZNF793-AS1	0	0	0	0	1	1
ENSG00000266918	RP11-798G7.8	0	0	0	0	0	0
ENSG00000266919	MIR3184	0	0	0	0	0	0
ENSG00000266920	ACTBP9	0	1	1	0	0	1
ENSG00000266921	RP11-15A1.7	26	13	5	8	10	11
ENSG00000266922	CTC-499B15.6	0	1	0	1	0	1
ENSG00000266923	RP11-693J15.4	0	0	0	0	0	0
ENSG00000266924	RP11-154H12.2	0	0	0	1	0	0
ENSG00000266925	RP11-434D2.7	0	0	0	0	0	0
ENSG00000266928	CTB-70G10.1	0	0	0	1	0	0
ENSG00000266929	RP11-400F19.8	0	0	0	0	0	0
ENSG00000266931	RP11-1252D15.1	0	3	0	0	1	0
ENSG00000266932	AC006116.13	0	0	0	1	1	1
ENSG00000266933	AC005775.2	8	1	3	0	2	3
ENSG00000266934	RP11-332H18.3	16	10	3	11	11	7
ENSG00000266936	CTC-215O4.4	1	0	0	0	0	0
ENSG00000266938	AC119403.1	0	0	0	0	0	0
ENSG00000266941	AC104532.3	0	0	0	0	0	0
ENSG00000266943	RPSAP66	0	0	0	0	0	0
ENSG00000266944	AC005262.4	0	1	0	0	0	0
ENSG00000266946	MRPL37P1	3	2	0	3	4	4
ENSG00000266947	RP11-799D4.4	11	9	9	11	6	9
ENSG00000266950	CTD-2623N2.5	0	0	0	0	0	0
ENSG00000266951	AD000091.2	0	0	0	0	0	0
ENSG00000266952	LINC01538	2	0	0	0	1	4
ENSG00000266953	RP11-618P17.4	0	0	0	0	0	0
ENSG00000266954	RP11-701H16.4	3	3	1	1	3	7
ENSG00000266955	RP11-820I16.3	0	0	0	0	0	0
ENSG00000266957	RP11-49K24.4	6	10	11	9	9	5
ENSG00000266958	AC006126.3	0	0	0	0	0	0
ENSG00000266959	AC005786.3	2	1	2	0	1	0
ENSG00000266961	RP11-973H7.5	0	0	0	0	0	0
ENSG00000266962	RP11-400F19.6	234	152	103	133	169	185
ENSG00000266963	AC005625.1	0	0	0	0	0	0
ENSG00000266964	FXYD1	1	0	0	1	0	0
ENSG00000266965	RP11-712P20.2	15	12	6	8	15	8
ENSG00000266967	AARSD1	46	36	25	34	42	19
ENSG00000266968	RP11-116O18.1	1	5	1	0	2	3
ENSG00000266969	RP11-773H22.4	0	0	1	2	1	2
ENSG00000266970	RP11-806H10.4	20	16	4	13	20	17
ENSG00000266971	OR4F8P	0	0	0	0	0	0
ENSG00000266973	CTD-3162L10.3	0	0	0	0	0	0
ENSG00000266975	FARSA-AS1	2	5	5	2	5	8
ENSG00000266976	AC079466.1	1	0	0	2	0	1
ENSG00000266977	CTC-459F4.5	0	0	0	0	0	0
ENSG00000266978	CTD-2369P2.5	1	7	0	5	2	7
ENSG00000266979	LINC01180	1	0	0	0	1	1
ENSG00000266980	RP11-552F3.4	2	1	0	1	1	3
ENSG00000266981	RP11-799D4.2	0	0	0	0	0	0
ENSG00000266983	CTC-232P5.1	4	5	1	3	3	0
ENSG00000266984	POLR3GP2	7	1	1	2	4	3
ENSG00000266985	CTD-2329C7.2	0	0	1	0	0	0
ENSG00000266987	RP11-354P11.8	0	0	0	0	0	1
ENSG00000266988	RP11-749H17.1	0	3	0	6	3	3
ENSG00000266989	FTLP5	0	0	0	0	0	0
ENSG00000266990	LLNLR-284B4.2	0	0	0	0	0	0
ENSG00000266992	DHX40P1	0	0	1	0	0	0
ENSG00000266993	RP4-657D16.3	24	14	13	16	14	13
ENSG00000266994	RP11-127I20.7	4	3	0	0	3	1
ENSG00000266995	RP11-703I16.3	9	2	7	2	9	3
ENSG00000266997	RP11-886H22.1	0	0	0	0	0	0
ENSG00000266998	RP11-936I5.1	3	5	0	5	2	1
ENSG00000267000	RP11-27G24.3	0	0	0	0	0	1
ENSG00000267001	AC006538.4	0	0	0	0	0	0
ENSG00000267002	RP11-242D8.1	379	268	129	217	305	192
ENSG00000267004	CTD-2659N19.4	0	0	0	0	0	0
ENSG00000267005	AC002984.2	1	0	0	0	0	1
ENSG00000267006	CTC-448F2.4	0	2	2	2	2	3
ENSG00000267007	CTB-31O20.3	0	1	0	1	0	0
ENSG00000267009	RP11-120M18.2	13	9	4	11	7	9
ENSG00000267011	CTB-50L17.16	2	5	1	4	1	0
ENSG00000267013	CTD-2171N6.1	2	0	0	0	1	1
ENSG00000267014	LINC01532	0	0	0	0	3	0
ENSG00000267015	RP11-800A18.4	1	1	0	0	0	1
ENSG00000267016	RP11-75C10.9	2	1	0	1	1	3
ENSG00000267019	NTF6A	0	0	0	0	0	0
ENSG00000267022	AC084219.2	0	0	0	0	0	0
ENSG00000267023	LRRC37A16P	8	16	6	14	21	16
ENSG00000267024	CTD-2588C8.8	0	0	0	2	2	0
ENSG00000267026	RP11-92C4.3	1	1	0	1	2	0
ENSG00000267027	AC011524.2	0	0	0	0	0	0
ENSG00000267028	TCF4-AS1	0	0	0	0	0	0
ENSG00000267030	CTB-50L17.7	16	14	6	7	7	9
ENSG00000267032	RP11-807E13.2	1	0	0	0	0	5
ENSG00000267033	CTD-2562J15.4	0	1	0	1	0	1
ENSG00000267034	RP11-384O8.1	99	59	51	70	84	40
ENSG00000267035	RP11-1094M14.10	0	0	2	0	0	0
ENSG00000267036	AC005559.3	0	0	0	0	0	0
ENSG00000267038	RP11-1096D5.2	0	0	0	0	0	0
ENSG00000267039	RP11-58G13.1	0	0	0	0	0	2
ENSG00000267040	RP11-35G9.3	187	114	73	159	181	140
ENSG00000267041	ZNF850	1188	786	416	624	775	463
ENSG00000267042	CTD-3193K9.4	9	3	5	9	13	5
ENSG00000267044	AC005757.6	1	0	0	0	0	0
ENSG00000267046	E2F3P1	1	0	0	0	0	0
ENSG00000267047	RP11-589P10.7	0	0	0	0	0	0
ENSG00000267048	RP11-566K11.7	2	1	1	1	3	0
ENSG00000267049	AC002398.13	0	0	0	0	1	0
ENSG00000267051	RP11-128P17.2	111	48	47	88	107	68
ENSG00000267052	CTB-30L5.1	14	3	4	5	3	5
ENSG00000267053	CTD-3162L10.1	0	0	0	0	2	0
ENSG00000267054	CTD-2540B15.10	0	0	0	0	0	0
ENSG00000267055	RP11-486P11.1	4	0	0	1	1	2
ENSG00000267056	AC005336.4	0	0	1	0	0	0
ENSG00000267057	RP11-456O19.2	0	0	0	0	4	2
ENSG00000267058	RP11-15A1.3	26	14	6	10	16	12
ENSG00000267059	AC005943.2	0	0	0	0	0	0
ENSG00000267060	PTGES3L	30	18	21	11	24	16
ENSG00000267061	RP11-760L24.1	0	0	0	0	0	0
ENSG00000267062	CTD-2659N19.10	8	3	3	4	7	13
ENSG00000267063	AC006130.3	0	0	0	1	0	1
ENSG00000267064	UXT-AS1	5	2	6	4	8	2
ENSG00000267065	CTD-2246P4.1	5	0	1	0	1	0
ENSG00000267066	RP11-866E20.1	0	0	0	0	0	0
ENSG00000267069	RP11-64C12.8	0	0	0	1	0	1
ENSG00000267070	RP11-10K17.6	0	0	0	0	0	0
ENSG00000267072	RP11-165E7.1	2	3	0	0	0	0
ENSG00000267073	AC005256.1	0	0	0	0	0	0
ENSG00000267074	RP11-1094M14.5	0	1	0	0	0	0
ENSG00000267075	RP11-434D2.3	0	0	0	0	0	0
ENSG00000267076	CCDC58P3	5	3	3	5	11	7
ENSG00000267077	RP11-127I20.5	1	0	1	0	1	0
ENSG00000267078	RP11-666A8.9	3	1	3	5	4	3
ENSG00000267079	RP11-820I16.1	1	0	0	0	0	1
ENSG00000267080	ASB16-AS1	261	176	123	144	193	141
ENSG00000267081	CTC-400I9.2	0	0	0	0	0	0
ENSG00000267082	CTC-510F12.2	2	3	0	3	2	2
ENSG00000267083	KRT18P61	1	3	1	1	3	1
ENSG00000267084	RP11-666A8.11	0	1	0	0	0	0
ENSG00000267085	RP11-15J10.9	0	0	0	0	0	0
ENSG00000267088	RP11-115N12.1	9	6	0	5	11	3
ENSG00000267089	CTC-499B15.8	0	0	0	0	0	0
ENSG00000267090	AC005789.9	1	0	0	0	0	0
ENSG00000267091	CTBP2P7	0	0	0	1	0	0
ENSG00000267092	CTB-25B13.9	0	2	0	0	0	0
ENSG00000267095	CTD-2319I12.5	1	0	0	0	0	0
ENSG00000267096	CTD-2537I9.13	5	5	7	4	7	6
ENSG00000267097	SLC14A2-AS1	4	10	6	6	11	3
ENSG00000267098	RP11-325K19.1	0	0	0	2	1	0
ENSG00000267099	NTF6G	0	0	0	0	0	0
ENSG00000267100	ILF3-AS1	155	120	91	92	98	99
ENSG00000267101	RP11-846C15.2	0	10	1	2	3	1
ENSG00000267102	RP11-686D22.7	25	10	15	11	29	9
ENSG00000267104	TBC1D3P1-DHX40P1	0	0	0	0	0	0
ENSG00000267105	CTD-2369P2.4	0	0	0	0	0	0
ENSG00000267106	ZNF561-AS1	25	20	10	12	13	16
ENSG00000267107	PCAT19	0	0	2	0	0	0
ENSG00000267108	RP11-861E21.1	3	0	0	0	0	0
ENSG00000267109	CTD-2378E21.1	0	0	0	0	0	0
ENSG00000267110	CTD-2587H24.4	0	0	0	0	0	0
ENSG00000267112	RP11-839G9.1	4	5	1	0	0	1
ENSG00000267113	AF038458.4	7	3	2	7	5	7
ENSG00000267114	CTB-129P6.11	4	6	2	5	5	2
ENSG00000267115	CTD-3064H18.2	0	1	0	0	0	0
ENSG00000267116	RP11-64C12.7	0	0	0	1	1	0
ENSG00000267117	AC010525.4	0	0	0	0	0	0
ENSG00000267119	RPL10P15	0	0	0	0	0	0
ENSG00000267120	AD000671.6	0	0	0	0	0	0
ENSG00000267121	CTD-2020K17.1	37	18	23	30	41	23
ENSG00000267122	AC004490.1	1	1	0	2	0	0
ENSG00000267123	CTD-2357A8.3	26	15	12	43	40	29
ENSG00000267124	CTD-3113P16.5	1	1	0	0	1	1
ENSG00000267125	CTB-31O20.6	4	0	0	3	1	0
ENSG00000267127	RP11-795F19.5	22	21	13	7	12	10
ENSG00000267128	RP11-449J21.5	4	1	0	5	3	9
ENSG00000267129	OR1AC1P	0	0	0	0	0	0
ENSG00000267130	CTD-2540B15.9	0	0	0	0	0	0
ENSG00000267131	RP11-332H18.5	23	10	7	9	11	6
ENSG00000267132	HMGB3P27	0	1	0	0	0	1
ENSG00000267133	AC011518.2	0	0	0	0	2	0
ENSG00000267134	RP11-146N18.1	4	1	1	2	0	2
ENSG00000267135	AD000091.3	2	1	0	0	0	1
ENSG00000267136	RP11-53B2.3	1	1	1	2	0	0
ENSG00000267137	RP11-15K2.2	0	0	0	0	0	0
ENSG00000267138	AC005954.3	0	2	1	0	3	1
ENSG00000267139	AC005262.3	6	1	1	4	5	4
ENSG00000267140	RP11-322E11.6	0	0	0	0	0	0
ENSG00000267141	CTB-31O20.8	0	0	0	0	0	0
ENSG00000267142	CTD-3162L10.5	0	2	0	1	2	0
ENSG00000267143	RP11-677O4.6	0	0	0	1	0	0
ENSG00000267144	AC067968.3	0	4	0	0	0	0
ENSG00000267145	AC006116.14	0	0	0	0	0	0
ENSG00000267146	RP11-383D22.1	0	0	0	0	1	0
ENSG00000267147	CTC-548K16.1	2	2	0	1	0	3
ENSG00000267148	AC005777.3	0	0	0	0	0	0
ENSG00000267149	CTC-550B14.6	0	0	0	0	0	0
ENSG00000267150	RP11-411B10.2	0	0	0	0	0	1
ENSG00000267151	MIR2117HG	0	0	0	0	0	0
ENSG00000267152	CTD-2528L19.6	18	19	4	10	12	3
ENSG00000267153	CTBP2P3	0	0	0	0	1	0
ENSG00000267154	OR1M4P	0	0	0	0	0	0
ENSG00000267156	TPMTP1	4	3	4	4	4	3
ENSG00000267157	CTB-54O9.9	0	0	0	0	0	0
ENSG00000267159	AC005391.2	0	0	0	0	0	0
ENSG00000267160	RP11-1072C15.4	162	95	61	85	143	67
ENSG00000267162	SDHDP1	0	0	0	0	0	0
ENSG00000267165	RP11-78A19.3	8	12	4	8	7	12
ENSG00000267166	RP11-527L4.9	0	0	0	1	1	4
ENSG00000267168	RP11-318A15.7	0	0	0	0	0	0
ENSG00000267169	CTB-55O6.12	42	18	9	36	41	14
ENSG00000267170	CALM2P1	0	0	0	1	0	0
ENSG00000267172	RP11-397A16.3	0	1	2	0	1	0
ENSG00000267173	CTC-512J12.6	0	0	0	0	0	0
ENSG00000267174	CTC-510F12.4	0	0	0	0	0	0
ENSG00000267175	RP11-879F14.1	0	2	0	0	6	0
ENSG00000267177	RP11-756J15.3	0	0	0	0	0	0
ENSG00000267178	PHF5CP	5	3	0	0	0	0
ENSG00000267179	CTD-2006C1.13	0	1	0	0	0	2
ENSG00000267180	AC007136.1	0	0	0	0	0	0
ENSG00000267182	SNRPCP20	0	0	0	0	0	0
ENSG00000267184	RP1-200G19.1	0	0	0	1	1	0
ENSG00000267185	PTP4A2P1	57	60	26	39	86	86
ENSG00000267187	RP11-767C4.1	0	0	0	0	0	0
ENSG00000267188	CTC-512J12.4	0	0	0	0	0	0
ENSG00000267189	ATP5LP7	0	0	0	0	1	1
ENSG00000267190	AC002314.4	0	0	0	0	0	0
ENSG00000267191	RP11-15A1.2	5	4	1	0	4	2
ENSG00000267192	AC006116.12	0	3	0	0	0	3
ENSG00000267193	RP11-116O18.3	2	1	1	2	1	0
ENSG00000267196	RP11-813F20.4	0	0	0	0	0	0
ENSG00000267197	CTC-429L19.3	1	6	1	0	2	1
ENSG00000267198	RP11-798G7.6	3	2	0	5	2	3
ENSG00000267199	RP11-861E21.2	45	22	22	14	21	20
ENSG00000267201	AC005624.2	1	0	0	0	2	0
ENSG00000267202	RP11-797E24.3	0	0	0	0	0	0
ENSG00000267203	SNRPGP4	0	1	0	0	0	3
ENSG00000267204	AC011518.1	0	0	0	0	0	0
ENSG00000267205	AC005954.4	0	0	0	0	0	0
ENSG00000267206	LCN6	0	0	0	0	0	0
ENSG00000267207	RP11-264B14.1	1	0	3	0	2	0
ENSG00000267209	RP11-693L9.2	0	0	0	2	0	0
ENSG00000267211	RP5-1067M6.3	0	0	0	1	0	0
ENSG00000267212	CTD-2659N19.9	0	0	0	1	2	0
ENSG00000267213	AC007773.2	66	19	14	34	27	7
ENSG00000267214	CTC-265F19.3	0	0	0	0	0	1
ENSG00000267215	RP11-685A21.1	0	0	0	0	0	0
ENSG00000267216	AC010642.1	79	39	24	51	64	47
ENSG00000267218	AC005336.5	1	0	0	0	0	0
ENSG00000267219	AC010504.2	0	4	0	1	1	0
ENSG00000267220	CTC-260E6.9	0	0	0	0	0	0
ENSG00000267221	ZNF385C	0	0	0	0	0	0
ENSG00000267222	RP11-194N12.2	1	3	0	0	3	0
ENSG00000267223	AC005597.1	5	2	0	2	0	0
ENSG00000267224	AC005498.4	0	0	0	0	0	2
ENSG00000267225	WDR7-OT1	0	0	0	0	0	0
ENSG00000267226	RP11-126O1.5	5	5	0	4	10	3
ENSG00000267227	RP11-640I15.2	0	0	0	0	0	0
ENSG00000267228	RP11-49K24.6	0	0	0	0	0	0
ENSG00000267231	AC005786.5	0	0	0	0	1	1
ENSG00000267232	CTB-31O20.9	0	0	0	0	0	2
ENSG00000267233	HNRNPA3P16	2	1	0	1	0	0
ENSG00000267234	CTB-184G21.3	0	0	0	0	0	0
ENSG00000267235	ZNF861P	0	0	0	0	0	0
ENSG00000267238	AC093074.1	0	1	0	1	0	0
ENSG00000267239	RP11-794M8.1	0	2	0	0	0	0
ENSG00000267240	AC011524.3	1	0	0	0	0	0
ENSG00000267241	CYP4F10P	0	0	0	1	0	0
ENSG00000267243	AC005307.4	0	1	0	4	3	0
ENSG00000267244	CTB-31O20.4	0	0	0	1	0	0
ENSG00000267245	CTD-2085J24.5	0	0	0	0	0	0
ENSG00000267246	RP11-798G7.7	1	0	0	0	0	0
ENSG00000267247	RP11-64C12.6	0	0	0	0	0	0
ENSG00000267248	CTD-2319I12.4	37	19	13	13	16	23
ENSG00000267249	RP11-973H7.3	82	82	21	52	71	29
ENSG00000267250	RP11-118B18.2	2	0	0	0	0	2
ENSG00000267251	AC139100.3	8	4	6	2	6	4
ENSG00000267252	LINC01255	0	0	0	0	0	0
ENSG00000267253	RP11-209M4.1	12	14	4	7	16	17
ENSG00000267254	ZNF790-AS1	99	69	45	38	46	43
ENSG00000267255	CTB-50L17.5	3	6	3	4	1	4
ENSG00000267257	RP11-1151B14.4	0	2	0	1	0	1
ENSG00000267258	CTC-448F2.3	0	0	1	0	0	0
ENSG00000267259	CTD-2008P7.9	0	0	0	1	0	2
ENSG00000267260	CTD-2162K18.4	11	10	7	5	7	2
ENSG00000267261	CTD-2132N18.3	0	0	0	0	0	0
ENSG00000267262	CTC-232P5.3	0	0	0	0	0	1
ENSG00000267263	RP11-75C10.7	7	8	2	2	3	5
ENSG00000267264	CTC-459F4.6	7	5	3	3	4	9
ENSG00000267265	CTC-550B14.7	14	10	3	2	4	2
ENSG00000267269	RP11-2N1.1	0	0	0	0	0	0
ENSG00000267270	PARD6G-AS1	232	143	99	137	206	112
ENSG00000267271	RP11-686D22.2	0	0	0	0	0	0
ENSG00000267272	LINC01140	17	10	3	8	9	8
ENSG00000267273	CTC-543D15.3	0	0	0	1	0	0
ENSG00000267274	CTD-2006C1.12	10	2	6	4	6	9
ENSG00000267275	CTD-2562J15.6	0	1	0	0	0	0
ENSG00000267277	CTD-2342J14.6	0	0	1	2	0	0
ENSG00000267278	MAP3K14-AS1	45	14	9	10	27	19
ENSG00000267279	RP11-879F14.2	59	33	24	20	29	21
ENSG00000267280	TBX2-AS1	106	65	45	48	96	49
ENSG00000267281	RP11-793H13.10	0	0	1	1	0	0
ENSG00000267282	CTB-129P6.4	0	0	0	0	1	0
ENSG00000267283	AC005306.3	11	5	4	3	8	5
ENSG00000267284	RP11-397A16.1	0	0	1	5	1	4
ENSG00000267285	RP5-951N9.2	7	8	1	6	8	3
ENSG00000267286	RP11-794M8.2	0	0	1	0	3	0
ENSG00000267287	RP11-567M16.1	0	0	0	0	0	0
ENSG00000267288	RP13-890H12.2	5	2	1	8	6	7
ENSG00000267289	CTD-2623N2.11	0	1	0	0	0	0
ENSG00000267291	CTB-186G2.1	0	0	0	0	0	1
ENSG00000267292	RP11-703I16.2	0	0	0	0	0	0
ENSG00000267293	RP11-8H2.1	5	2	2	3	4	9
ENSG00000267295	CTD-2319I12.3	0	0	0	0	0	0
ENSG00000267296	CEBPA-AS1	1	1	2	1	0	0
ENSG00000267298	AC006116.19	21	10	7	9	13	8
ENSG00000267299	CTB-66B24.1	0	0	0	0	0	0
ENSG00000267301	RPL23AP77	1	0	0	0	0	1
ENSG00000267302	RP11-178C3.2	2	1	0	0	1	1
ENSG00000267303	CTD-2369P2.12	0	0	0	0	0	0
ENSG00000267304	AC004637.1	0	0	0	0	0	0
ENSG00000267305	CTD-3113P16.7	2	0	0	0	0	1
ENSG00000267308	AC004510.3	0	1	0	2	0	0
ENSG00000267309	CTD-2630F21.1	13	5	9	10	4	11
ENSG00000267310	OR4G1P	0	0	0	0	0	0
ENSG00000267311	RP11-99A1.2	3	0	1	2	2	1
ENSG00000267312	RP11-1094M14.7	10	16	11	21	18	34
ENSG00000267313	KC6	5	9	4	4	7	2
ENSG00000267314	AC104532.2	0	0	0	0	0	0
ENSG00000267315	RP11-686D22.6	0	0	0	0	1	0
ENSG00000267316	RP11-879F14.3	1	3	0	3	1	2
ENSG00000267317	CTB-25B13.12	208	135	80	126	176	91
ENSG00000267318	RP11-178C3.1	0	0	0	0	0	0
ENSG00000267319	CTD-2528L19.3	0	0	0	0	0	2
ENSG00000267320	AC005780.1	1	0	0	0	0	2
ENSG00000267321	RP11-1094M14.11	87	82	41	57	79	61
ENSG00000267322	SNHG22	8	4	1	1	6	3
ENSG00000267323	SLC25A1P5	0	0	0	0	0	0
ENSG00000267324	RP11-411B10.5	0	0	0	0	0	0
ENSG00000267325	LINC01415	2	0	0	1	2	1
ENSG00000267327	CTD-2008L17.1	0	0	0	0	1	0
ENSG00000267328	AC002398.12	5	7	3	1	1	1
ENSG00000267332	BOLA3P2	0	0	0	0	0	0
ENSG00000267333	ASNSP6	0	0	2	0	1	0
ENSG00000267334	CTD-2534I21.8	1	2	1	0	4	1
ENSG00000267335	CTB-60B18.6	0	0	0	0	0	0
ENSG00000267336	EIF4A2P1	0	0	0	0	0	3
ENSG00000267337	LINC01478	5	2	0	0	2	2
ENSG00000267338	KB-7G2.9	1	0	0	0	1	1
ENSG00000267339	LINC00906	0	1	1	0	3	2
ENSG00000267340	RP11-242D8.3	6	0	8	5	5	1
ENSG00000267341	RP11-640A1.3	0	0	0	1	0	0
ENSG00000267342	RP11-552F3.10	2	5	0	3	4	1
ENSG00000267343	ZNF833P	0	0	0	0	0	0
ENSG00000267344	CTB-39G8.3	0	0	0	1	0	0
ENSG00000267345	CTD-2293H3.2	3	0	0	0	0	0
ENSG00000267346	EIF5AP3	1	1	2	2	9	2
ENSG00000267348	CTB-179K24.3	9	1	4	2	8	7
ENSG00000267349	RP11-686D22.9	0	0	0	0	0	0
ENSG00000267352	SH3GL1P3	3	0	1	1	2	3
ENSG00000267353	CTD-2162K18.3	0	0	0	0	0	0
ENSG00000267354	RP11-749H17.2	0	0	0	0	0	1
ENSG00000267355	RPL9P29	2	0	0	1	2	3
ENSG00000267356	RP11-411B10.3	1	0	0	1	2	1
ENSG00000267359	RP11-1094M14.12	0	0	0	0	0	0
ENSG00000267360	CTC-454I21.3	0	0	0	0	0	0
ENSG00000267361	LOC100421166	1	2	0	0	2	1
ENSG00000267363	CTD-3162L10.4	0	0	0	0	0	0
ENSG00000267364	RP11-47L3.1	1	0	0	0	0	0
ENSG00000267365	KCNJ2-AS1	7	9	0	5	1	2
ENSG00000267366	RP11-53B2.5	0	1	0	0	0	0
ENSG00000267368	UPK3BL	0	0	0	0	0	0
ENSG00000267369	RP11-1094M14.8	0	0	1	0	0	0
ENSG00000267370	CTD-2623N2.3	3	12	2	7	9	6
ENSG00000267371	RP11-712C7.2	0	0	0	0	0	0
ENSG00000267372	AC005330.2	0	0	0	0	0	0
ENSG00000267373	CTD-2231E14.5	1	0	0	0	0	0
ENSG00000267374	RP11-244M2.1	2	0	0	1	3	2
ENSG00000267375	CTB-186G2.4	0	0	0	0	1	0
ENSG00000267376	ATP5LP6	2	0	0	2	0	1
ENSG00000267378	CTC-400I9.3	0	0	0	0	0	0
ENSG00000267379	CTC-548K16.5	6	1	2	4	3	2
ENSG00000267382	RP11-325K19.2	2	1	0	4	1	6
ENSG00000267383	CTC-260E6.6	3	1	0	0	0	1
ENSG00000267384	SMCO4P1	0	0	0	0	0	0
ENSG00000267385	CTB-50L17.14	0	0	0	0	0	0
ENSG00000267387	CTD-2240E14.4	0	1	1	0	2	2
ENSG00000267388	AF038458.5	0	0	0	0	2	0
ENSG00000267389	CTC-459F4.7	0	1	1	0	0	1
ENSG00000267390	RP11-635N19.1	10	7	6	4	6	5
ENSG00000267391	MIR122	0	0	0	5	0	1
ENSG00000267392	CYP4F9P	1	0	0	0	0	0
ENSG00000267393	RP11-691H4.3	0	0	0	0	0	2
ENSG00000267394	CTB-175E5.7	5	1	2	4	3	3
ENSG00000267395	AC074212.6	10	2	4	6	4	5
ENSG00000267396	RP11-845C23.3	1	2	2	4	1	2
ENSG00000267397	RP11-873E20.1	96	47	54	43	62	43
ENSG00000267398	AC006130.4	0	0	0	0	0	0
ENSG00000267399	RP11-456O19.5	0	1	0	0	0	0
ENSG00000267400	RP11-325K19.3	0	0	0	0	0	0
ENSG00000267401	RP11-396N11.1	1	0	0	0	2	0
ENSG00000267402	TCF4-AS2	0	0	0	1	0	0
ENSG00000267404	RP11-49I11.2	79	65	47	50	68	39
ENSG00000267405	CTC-296K1.4	39	35	11	25	40	20
ENSG00000267406	CTD-2189E23.2	0	0	0	0	0	0
ENSG00000267407	CTD-2050I18.1	0	0	0	0	0	1
ENSG00000267408	CTB-50L17.2	0	0	1	0	0	0
ENSG00000267409	RP11-567M16.2	0	0	0	0	0	0
ENSG00000267412	CTC-265F19.2	0	1	0	3	0	0
ENSG00000267413	RP11-636O21.1	0	3	1	2	0	0
