id	sym	NKX2_positive_1	NKX2_positive_2	NKX2_positive_3	NKX2_negative_1	NKX2_negative_2	NKX2_negative_3
ENSMUSG00000105221	Gm9332	0	1.05	0	0	0	1.05
ENSMUSG00000105222	Gm43207	0	0	0	0	0	0
ENSMUSG00000105223	Gm43433	0	0	0	0	0	0
ENSMUSG00000105224	Gm3364	0	1	0	0	0	0
ENSMUSG00000105225	Gm19147	0	0	0	0	0	0
ENSMUSG00000105226	A930028O11Rik	0	0	0	0	0	0
ENSMUSG00000105227	Gm42624	0	0	0	0	0	0
ENSMUSG00000105228	Gm43340	8.88	16.07	21.17	0	10.69	6.56
ENSMUSG00000105229	Gm43149	8	19	11	16	29	7
ENSMUSG00000105230	Gm42433	5.45	4.1	0	4	7.47	1.02
ENSMUSG00000105231	Iglj3	0	0	0	0	0	0
ENSMUSG00000105232	AC124457.1	0	0	0	4	0	0
ENSMUSG00000105233	Gm20568	0	0	1.23	0	0	0
ENSMUSG00000105234	4930459L07Rik	0	0	0	0	0	0
ENSMUSG00000105235	Hcfc1r1-ps1	0	0	0	0	0	0
ENSMUSG00000105236	Gm44356	0	0	0	0	0	0
ENSMUSG00000105237	Gm42580	0	0	0	0	0	2
ENSMUSG00000105238	Gm44357	3.28	0	0	0	3	0
ENSMUSG00000105239	Gm43091	0	0	0	0	0	0
ENSMUSG00000105240	Gm19418	0	0	0	0	0	0
ENSMUSG00000105241	Gm43542	0	0	0	0	0	1
ENSMUSG00000105242	Gm9236	0	0	0	0	0	2
ENSMUSG00000105243	Gm43444	0	1.15	0	6.64	0	4.05
ENSMUSG00000105244	Gm5281	0	0	0	0	0	1
ENSMUSG00000105245	Gm43076	0	0	0	0	0	1
ENSMUSG00000105246	Gm21043	0	0	0	0	0	1
ENSMUSG00000105247	Gm42519	2983.23	7193.14	6149.95	3940.69	3873.4	11853.37
ENSMUSG00000105248	Gm5310	0	0	0	0	0	0
ENSMUSG00000105249	Gm44458	0	0	0	0	0	0
ENSMUSG00000105250	Gm29736	0	0	0.99	0	0	0
ENSMUSG00000105251	4930526M16Rik	0	0	0	0	0	0
ENSMUSG00000105252	Gm42753	1	0	0	0	1	0
ENSMUSG00000105253	Gm42522	16.72	11.48	30.61	61.23	63.24	3.12
ENSMUSG00000105254	Gm42951	2	0	4	1	1	1
ENSMUSG00000105255	Gm42413	0	0	0	0	0	0
ENSMUSG00000105256	Gm19658	0	0	0	0	0	0
ENSMUSG00000105257	Gm43144	0	0	0	0	0	0
ENSMUSG00000105258	Gm42784	0	2.39	0	1.01	0	0
ENSMUSG00000105259	Gm42874	9.7	13.89	11.78	11.24	4.39	5.99
ENSMUSG00000105260	Gm42434	0	0	0	4	4	0
ENSMUSG00000105261	Gm43333	0	0	0	0	0	1
ENSMUSG00000105262	Gm19175	0	0	0	0	0	3
ENSMUSG00000105263	Gm42427	2441.81	838.75	769.8	24600.65	25511.6	3896.93
ENSMUSG00000105264	Gm42716	12.94	7.89	10.93	109.89	105.91	30.2
ENSMUSG00000105265	Sox2ot	14.84	19.05	12.6	2.08	6.31	4.95
ENSMUSG00000105266	Gm18546	0	0	0	0	0	0
ENSMUSG00000105267	Gm42542	0	0	0	0	0	0
ENSMUSG00000105269	Gm42999	0	0	0	0	0	0
ENSMUSG00000105270	Gm42863	220.01	414.82	306.19	150.42	144.14	221.86
ENSMUSG00000105271	Gm42875	0	0.92	0	0	0	1
ENSMUSG00000105272	Gm43071	38.05	59.85	38	18	14.05	3.01
ENSMUSG00000105273	Gm43015	0	0	0	0	0	0
ENSMUSG00000105274	1700048F04Rik	0	0	2	0	0	0
ENSMUSG00000105275	Gm43214	0	0	0	0	0	0
ENSMUSG00000105277	Gm9504	0	0	0	0	0.97	0
ENSMUSG00000105278	Gm42630	13.77	17.18	13.68	10.54	14.97	4.92
ENSMUSG00000105279	Gm6260	0	0	0	0	0	0
ENSMUSG00000105280	Pgk1-ps3	0	0	0	0	0	0
ENSMUSG00000105281	Gm17835	1	0	0	0	0	0
ENSMUSG00000105282	Gm42981	0	0	0	0	1	1
ENSMUSG00000105283	Gm33370	1	0	0	1	0	0
ENSMUSG00000105284	Gm42693	0	0	0	0	0	0
ENSMUSG00000105285	Gm43238	215.36	479.91	389.6	266.37	242.45	295.88
ENSMUSG00000105286	Gm43140	0	0	1	0	0	0
ENSMUSG00000105287	Gm43577	261.03	652.34	545.69	466.04	410.39	510.33
ENSMUSG00000105288	Gm25820	3	10	3	12	5	4
ENSMUSG00000105289	Gm43483	1.97	5.24	1.05	1	0	1.19
ENSMUSG00000105290	Gm43528	0	0	0	0	0	0
ENSMUSG00000105291	Gm18901	4.36	12.01	9.9	1	0	3.05
ENSMUSG00000105292	Gm44299	0	0	0	0	0	0
ENSMUSG00000105293	Gm42843	9.95	63.71	40.55	40.03	37.31	7.02
ENSMUSG00000105294	Gm43304	0	0	0	0	0	0
ENSMUSG00000105295	Gm42834	0	0	0	0	0	0
ENSMUSG00000105296	Gm19708	0	0	0	0	0	1
ENSMUSG00000105297	Gm30852	0	0	0	0	0	0
ENSMUSG00000105298	Cldn25-ps	0	0	0	0	0	0
ENSMUSG00000105299	Gm43639	0	0	0	0	0	0.24
ENSMUSG00000105300	Gm30613	0	0	0	0	0	2.61
ENSMUSG00000105301	Igkv13-54-1	0	0	0	0	0	0
ENSMUSG00000105302	Gm19817	8	15.01	6	9	3	2
ENSMUSG00000105303	Gm18555	0	1.06	0	0	0	0
ENSMUSG00000105304	Gm43696	14.19	27.23	24.52	33.72	35.08	6.15
ENSMUSG00000105305	Gm8872	0	0	0	0	0	0
ENSMUSG00000105306	Gm43171	0	0	0	0	0	0
ENSMUSG00000105307	Gm43839	1.93	0	1	1	0	1.02
ENSMUSG00000105308	4930572K03Rik	0	0	0	0	0	0
ENSMUSG00000105309	Gm21461	0	0	0	0	0	0
ENSMUSG00000105310	Gm42451	0	0	0	0	0	0
ENSMUSG00000105311	Gm44574	0	0	0	0	0	0
ENSMUSG00000105312	AL772271.1	0	0	0	0	0	0
ENSMUSG00000105313	Gm43583	0	0	0	0	0	0
ENSMUSG00000105314	Ranbp2-ps11	0	0	0	0	0	1.28
ENSMUSG00000105315	Gm18635	0	0	0	10	18	4
ENSMUSG00000105316	Gm42953	0	0	0	0	0	0
ENSMUSG00000105317	Gbp2-ps	0	0	0	0	0.17	3
ENSMUSG00000105319	Igkv15-101	0	0	0	0	0	2
ENSMUSG00000105320	Gm43016	0	0	0	0	0	2
ENSMUSG00000105321	Gm44382	0	0	0	0	0	0
ENSMUSG00000105322	Gm43751	3.81	1	1.05	2	1.96	2.09
ENSMUSG00000105323	Igkv13-62-1	0	0	0	0	0	0
ENSMUSG00000105324	Gm42705	0	0	0	0	0	0
ENSMUSG00000105325	Gm30946	0	0	0.89	4.91	0	0
ENSMUSG00000105326	6030400A10Rik	18	63	49	20	36	7
ENSMUSG00000105327	Gm9409	1.24	1.26	5.24	0	0	0
ENSMUSG00000105328	Gm43180	0	5.8	6.82	2.86	4.8	3.02
ENSMUSG00000105329	Mir7215	0	0	0	0	0	0
ENSMUSG00000105330	Mir669a-6	0	0	0	0	0	0
ENSMUSG00000105331	Gm29865	0	0	0	0	0	1
ENSMUSG00000105332	Gm43316	0	0	0	0	0	0
ENSMUSG00000105333	Mir684-2	0	0	0	0	0	0
ENSMUSG00000105334	Gm42680	0	0	0	0	0	1
ENSMUSG00000105335	Gm42423	1	0	0	0	0	0
ENSMUSG00000105336	AU022133	2	1	3.88	1.59	1	0.78
ENSMUSG00000105337	Gm43832	0	1.64	3.99	4.86	1	0
ENSMUSG00000105338	Gm43802	1.08	4.02	2.58	13.09	8.32	5.35
ENSMUSG00000105339	Gm42457	2	2	0	1	0	0
ENSMUSG00000105340	Gm42878	61.35	39.12	60.24	23.79	35.08	8.12
ENSMUSG00000105341	Gm43817	32	28	36	20	21	9
ENSMUSG00000105342	Gm43244	0	0	0	0	0	0
ENSMUSG00000105343	Gm43512	21	9	5	16.26	26	2
ENSMUSG00000105344	Gm43556	0	0	0	1	0	0
ENSMUSG00000105345	BC030343	5.01	5.09	5.19	7.38	1.36	1
ENSMUSG00000105346	Gm18894	0	0	0	0	0	0
ENSMUSG00000105347	Gm43503	42.05	98.58	66.5	55.29	44.34	17.83
ENSMUSG00000105348	Gm35212	0	0	0	0	0	0
ENSMUSG00000105349	Gm43604	2	0	4	5	2	0
ENSMUSG00000105350	4930537H20Rik	3	2	5	1	1	0
ENSMUSG00000105351	Gm43157	0	0	0	0	0	0
ENSMUSG00000105352	C030018K13Rik	0	0	0	0	0	0
ENSMUSG00000105353	Gm42428	283.36	267.26	120.7	4065.58	6738.84	989.56
ENSMUSG00000105355	Gm42956	0	0	0	0	0	0
ENSMUSG00000105356	Gm42603	78	207.63	218.96	302.15	299.66	78
ENSMUSG00000105357	Gm42647	44	2.01	0	1.84	0	0
ENSMUSG00000105358	Gm43099	33.79	83.9	49.89	25.85	36.59	12.31
ENSMUSG00000105359	Rpl21-ps10	0	0	0.46	0	2.69	0
ENSMUSG00000105360	Gm7824	1	0	1	0	0	0
ENSMUSG00000105361	AY036118	0	11608.23	9350.25	0	93084.77	1022505.44
ENSMUSG00000105362	Gm43474	0	0	3	0	0	0
ENSMUSG00000105363	Igkv11-114	0	0	0	0	0	1
ENSMUSG00000105364	Gm8924	0	0	0	0	0	0
ENSMUSG00000105365	Mir669a-10	0	0	0	0	0	0
ENSMUSG00000105366	Gm43719	49.01	31.4	54.21	0.71	3.54	1.85
ENSMUSG00000105368	Gm43759	1	5.01	9	3	8	3
ENSMUSG00000105369	Igkv13-57-1	0	0	0	0	0	0
ENSMUSG00000105370	Gm42718	383.72	720.49	607.85	317.19	306.42	688.04
ENSMUSG00000105371	Gm44384	0	0	0	0	0	0
ENSMUSG00000105372	Mir327	0	0	0	0	0	0
ENSMUSG00000105373	Gm42429	0	12.39	80.58	70.82	1335.79	185.4
ENSMUSG00000105374	Gm42551	31	55	15	14	12	4
ENSMUSG00000105375	Gm20239	0	0	0	0	0	0
ENSMUSG00000105376	Gm42487	0	0	0	0	0	0
ENSMUSG00000105377	Gm43148	0	0	0	0	0	0
ENSMUSG00000105378	Gm42515	36.61	40.32	45.46	103.86	114.91	21.08
ENSMUSG00000105379	Mir1191b	0	0	0	0	0	0
ENSMUSG00000105380	Trav12-4	0	0	0	0	0	0
ENSMUSG00000105381	Mir7234	0	0	0	0	0	0
ENSMUSG00000105382	Gm43339	7.46	17.72	19.9	5.94	2.74	15.81
ENSMUSG00000105384	Gm43396	0	0	0	0	0	0
ENSMUSG00000105385	9230114J08Rik	0	0	0	0	0	0
ENSMUSG00000105386	Gm43104	0	0	0	0	0	0
ENSMUSG00000105387	Gm42590	23.71	31.88	16.41	19.18	15.63	12.93
ENSMUSG00000105388	Rpl36a-ps2	2418.24	2338.52	2831.13	2699.96	2684.31	536.42
ENSMUSG00000105389	BB187690	10.27	8.94	13.78	15.8	1.43	2.4
ENSMUSG00000105390	Gm8458	0	0	0	1	0	0
ENSMUSG00000105391	Gm43401	0	0	0	0	0	0
ENSMUSG00000105392	Gm42684	2	2	0	0	3	1
ENSMUSG00000105393	Trav7d-5	0	0	0	0	0	0
ENSMUSG00000105394	Gm43115	0	0	0	0	0	0
ENSMUSG00000105395	Gm42672	5	10	4	12	9	1
ENSMUSG00000105396	Gm6057	0	0	0	0	0	0
ENSMUSG00000105397	Gm43471	0	0	0	0	5.04	1.57
ENSMUSG00000105398	AC157822.2	70394.82	45260.85	56040.91	46313.03	52463.35	6535.44
ENSMUSG00000105399	Mir1843b	0	0	0	0	1	0
ENSMUSG00000105400	Gm22897	0	0	0	0	0	0
ENSMUSG00000105401	Gm42949	4.11	8.35	3.47	0.51	0	0
ENSMUSG00000105402	Gm3716	2	1	3	8	14	5
ENSMUSG00000105403	Gm43618	0	0	0	1	0	0
ENSMUSG00000105404	Gm42807	1	2	0	0	0	1
ENSMUSG00000105405	Gm42431	0	0	0	0	0	0
ENSMUSG00000105406	Gm43247	0	0	0	0	0	0
ENSMUSG00000105407	Gm36259	0	0	0	0	0	0
ENSMUSG00000105408	Gm7285	16.16	11.76	6.7	35.1	33.41	9
ENSMUSG00000105410	Gtpbp4-ps7	0	0	0	0	0	0
ENSMUSG00000105411	Gm44488	0	0	0	0	0	0
ENSMUSG00000105412	Gm43768	7.17	9.51	2	3.01	6.34	3.59
ENSMUSG00000105413	AL596383.1	1.23	0	0	0	0	0.29
ENSMUSG00000105415	Gm44364	4.06	0	2.01	0	0	0
ENSMUSG00000105416	Gm42553	788.75	1225.56	1090.86	842.49	741.67	732.09
ENSMUSG00000105418	Gm43650	0	0	1	0	0	0
ENSMUSG00000105419	Gm43205	24.16	81.49	58.64	38.3	42.09	43.7
ENSMUSG00000105420	Gm44374	0	0	0	0	0	0
ENSMUSG00000105421	5830411K02Rik	1	0	0	0	0	0
ENSMUSG00000105422	Gm6089	0	0	0	1.47	0	0
ENSMUSG00000105423	Gm36814	3.25	1.36	2	0.97	2	0
ENSMUSG00000105424	Gm44304	0	0	0	0	0	0
ENSMUSG00000105425	Gm43469	29.24	33.92	30.24	14.72	12.72	42.16
ENSMUSG00000105426	Gm42618	0	0	0	0	0	0
ENSMUSG00000105427	Gm31678	0	0	0	0	0	0
ENSMUSG00000105428	Mir3068	0	0	0	0	0	0
ENSMUSG00000105429	Gm43692	5.02	12.93	11.29	8.38	10.09	3.05
ENSMUSG00000105430	Gm43301	1	0	0	0	4.02	1
ENSMUSG00000105431	Gm42640	0	0	0	0	0	0
ENSMUSG00000105432	Gm43218	12	0	0	0	0	0
ENSMUSG00000105433	Gm44486	0	0	0	0	0	0
ENSMUSG00000105434	Gm43359	136.35	458.03	234.89	160	161	33.02
ENSMUSG00000105435	Gm44355	0	0	0	0	0	0
ENSMUSG00000105436	Gm43212	0	0	0	0	0	0
ENSMUSG00000105437	Gm42450	0	4.63	1.01	0.22	0	2.94
ENSMUSG00000105438	Mir7094-1	0	0	0	0	0	0
ENSMUSG00000105439	Gm42806	0	0	0	0	0	0
ENSMUSG00000105440	Gm43673	20.33	38.04	19.86	17.65	17.25	6.63
ENSMUSG00000105441	Gm8041	0	0	0	0	0	0
ENSMUSG00000105442	Gm42614	6.62	22.49	24	3	6.01	4
ENSMUSG00000105443	Gm43837	0	0	0	0	0	0
ENSMUSG00000105444	Gm10727	0	0	0	0	0	1
ENSMUSG00000105445	Gm42972	0.27	0	0.98	5	2	5.14
ENSMUSG00000105446	Gm42605	0	0	0	0	0	0
ENSMUSG00000105447	Gm43653	0	8	3	8	4	0
ENSMUSG00000105448	Gm25820	0	0	0	0	0	0
ENSMUSG00000105449	Gm43379	48.49	81.76	102.69	73.04	52.14	14.79
ENSMUSG00000105450	Gm22813	0	0	0	0	0	0
ENSMUSG00000105451	Gm43220	0	0	0	0	0	0
ENSMUSG00000105452	Gm5276	0	0	0	0	0	1.04
ENSMUSG00000105453	Gm43702	12.01	41.99	37.39	35.65	25.61	108.13
ENSMUSG00000105454	Gm43830	611.52	1279.02	1039.88	694.98	705.34	762.87
ENSMUSG00000105456	Gm43745	0	0	0	199.22	187.99	30
ENSMUSG00000105457	Gm43200	13	35	20	61	59	16
ENSMUSG00000105458	Mir3074-2	0	0	0	0	1	0
ENSMUSG00000105459	4930449I04Rik	0	0	0	0	1	0
ENSMUSG00000105460	Gm42671	3.95	13.34	6.14	12.9	5.42	7.28
ENSMUSG00000105461	Gm4742	8.18	1.5	6.26	0	2.55	0
ENSMUSG00000105462	Igkv4-77	1	0	0	0	0	0
ENSMUSG00000105463	Igkv2-113	0	0	0	0	0	0
ENSMUSG00000105464	Rpl18a-ps2	0	0	0	0	0	0
ENSMUSG00000105465	Gm44325	0	0	0	0	0	0
ENSMUSG00000105466	Gm42998	5	25.02	11	3	1	1.01
ENSMUSG00000105467	Trav5n-3	0	0	0	0	0	0
ENSMUSG00000105468	Mir6906	0	0	0	0	0	0
ENSMUSG00000105469	A930036I15Rik	0	0	0	0	0	0
ENSMUSG00000105470	Gm42589	0	2	0	3	4	1
ENSMUSG00000105471	A430073D23Rik	142.79	304.82	273.99	138.7	159.72	205.59
ENSMUSG00000105472	Gm43024	19	25	16	34	30	3
ENSMUSG00000105473	Mark1-ps1	0	0	0	0	0	0
ENSMUSG00000105474	Gm20159	0	0	0	0	0	0
ENSMUSG00000105475	4930431L21Rik	0	0	0	0	0	0
ENSMUSG00000105476	Gm43740	302.52	609.6	520.93	411.89	401.57	512.78
ENSMUSG00000105477	AC151286.1	0	0	0	0	0	0
ENSMUSG00000105478	Gm43285	8.09	21.06	23.29	15.72	21.15	8.08
ENSMUSG00000105479	Gm43132	0	0	0	0	0	0
ENSMUSG00000105480	Igkv13-78-1	0	0	0	0	0	0
ENSMUSG00000105481	6430500D05Rik	1.31	1.74	1	0	0	1
ENSMUSG00000105482	Gm42596	4	2	7	1	2	1
ENSMUSG00000105483	4930553I04Rik	0	0	0	0	0	0
ENSMUSG00000105484	Gm42775	0	0	0	1	4	0
ENSMUSG00000105485	Gm42447	3	9	11	2	1	2
ENSMUSG00000105486	Gm3372	0	0	0	0	0	0
ENSMUSG00000105487	Gm43324	0	0	0	0	0	0
ENSMUSG00000105488	Gm44396	1	0	0	0	0	0
ENSMUSG00000105489	Gm43477	0	2	2.17	0.99	0.9	1.01
ENSMUSG00000105490	4933438B17Rik	0	0	1	0	0	2
ENSMUSG00000105491	Gm42844	0	0	0	0	0	0
ENSMUSG00000105492	Gm2505	0	0	3	0	0	0
ENSMUSG00000105493	Gm43551	0	0	0	2	0	0
ENSMUSG00000105494	Gm44310	23.01	34.66	16.9	22.67	35.77	10.05
ENSMUSG00000105495	Gm42995	1	0	0	0	0	0
ENSMUSG00000105496	Mir7004	0	0	0	0	0	0
ENSMUSG00000105497	Mir191	0	0	0	0	0	0
ENSMUSG00000105498	Gm42677	0	0	0	0	0	0
ENSMUSG00000105499	Igkv3-11	0	0	0	0	0	0
ENSMUSG00000105500	Gm42591	0	0	0	0	0	0
ENSMUSG00000105501	5330426L24Rik	26.28	81.91	55.9	40.31	89.77	42.93
ENSMUSG00000105502	Gm42536	0	3	4	12	10	6
ENSMUSG00000105503	Gm42982	0	0	0	0	0	0
ENSMUSG00000105504	Gbp5	37.4	9.55	21.58	45.12	62.05	17.89
ENSMUSG00000105505	Obox4-ps7	0	0	0	0	0	0
ENSMUSG00000105506	Gm43743	25.37	45.18	20.29	29.5	31.15	6.89
ENSMUSG00000105507	Gm43853	0	0	0	0	0	0
ENSMUSG00000105508	Gm32921	0	0	0	0	0	0
ENSMUSG00000105509	C130013H08Rik	28.01	16.57	13.02	12.14	18.87	3.81
ENSMUSG00000105510	Gm43815	5	23	29	3	10	1
ENSMUSG00000105511	Gm42703	0	4.02	2	0	1	0
ENSMUSG00000105512	Gm43714	4	2	6	1	3	0
ENSMUSG00000105513	Gm44409	0	0	0	0	0	0
ENSMUSG00000105514	Gm42913	0	1	0	3.01	0	0
ENSMUSG00000105515	Gm42454	0	0	0	0	0	0
ENSMUSG00000105516	Gm43536	164.34	349.18	258.03	215.47	182.34	106.24
ENSMUSG00000105517	Gm42436	44.95	133.82	113.63	51.76	77.31	20.45
ENSMUSG00000105518	Gm42674	0	0	0	0	0	0
ENSMUSG00000105519	E430021H15Rik	23.29	40.03	36.52	21.19	31.04	4.11
ENSMUSG00000105520	Gm42837	3.98	3.77	0	0	0	3.16
ENSMUSG00000105521	Gm35702	0	0	0	0	0	0
ENSMUSG00000105522	Gm15235	0	0	0	0	0	0
ENSMUSG00000105523	Gm43193	0	0	0	0	0	0
ENSMUSG00000105524	Mir3065	0	0	0	0	0	0
ENSMUSG00000105525	Gm42976	0	0	0	0	0	0
ENSMUSG00000105526	Gm43490	0	0.93	0	1	2	0
ENSMUSG00000105527	4933424H11Rik	0	0	1	0	0	0
ENSMUSG00000105528	Gm43519	28	25	15	332	210	61
ENSMUSG00000105529	Gm9480	0	2.26	0	0	0	0
ENSMUSG00000105530	Gm43829	0	1	2	0	2.11	1
ENSMUSG00000105531	Gm42914	0	0	0	0	0	1
ENSMUSG00000105532	Gm5279	0	0	1.16	0	0	0
ENSMUSG00000105533	Trav7d-2	0	0	0	0	0	0
ENSMUSG00000105534	Gm42435	0	0	0	0	0	1
ENSMUSG00000105535	Gm43077	0	0	0	0	0	0
ENSMUSG00000105536	Gm4959	0	0	1.7	0	0	0
ENSMUSG00000105537	AL954388.1	4.83	1.26	3.44	0	0.02	0
ENSMUSG00000105538	Gm2142	0	0	0	0	0	0
ENSMUSG00000105539	Igkv13-80-1	0	0	0	0	0	0
ENSMUSG00000105540	Gm7988	0	0	0	0	1	0
ENSMUSG00000105541	Gm43136	0	8.1	4	0	0	0
ENSMUSG00000105542	Gm34248	0	6.04	3.36	0	4.02	0
ENSMUSG00000105543	Gm43169	0	0	0	0	0	1
ENSMUSG00000105545	4930599N24Rik	0	0	0	0	0	0
ENSMUSG00000105546	Mir669a-4	0	0	0	0	0	0
ENSMUSG00000105547	Iglc3	4.02	3	1	0	0	0
ENSMUSG00000105548	Trav15n-3	0	0	0	0	0	0
ENSMUSG00000105549	Gm43540	659.54	1093.82	912.98	423.09	557.79	2176.83
ENSMUSG00000105550	Gm42586	0	0	0	0	0	1
ENSMUSG00000105551	Gm43199	0	0	0	0	0	0
ENSMUSG00000105552	Gm19710	5	3	3	2	0	0
ENSMUSG00000105553	Gm42514	26.23	21.59	35.07	52.41	39.02	13.32
ENSMUSG00000105554	Gm7118	0	0	0	0	0	0
ENSMUSG00000105555	Gm43856	0	0	0	0	0	0
ENSMUSG00000105556	Gm43080	36.48	53.29	62.04	37.55	43.49	60.74
ENSMUSG00000105557	Mir3966	0	0	0	0	0	0
ENSMUSG00000105558	Gm5855	11.88	4.81	5.49	0	0	0
ENSMUSG00000105559	Gm4860	0	0	0	0	0	0
ENSMUSG00000105560	Gm42744	7	7.06	17	4	4	5
ENSMUSG00000105561	Gm43462	30.65	64.46	54.19	66.12	75.31	28.78
ENSMUSG00000105562	Gm43287	0	0	0	0	0	0
ENSMUSG00000105563	Gm44408	0	0	0	0	0	0
ENSMUSG00000105564	Gm8891	0	0	0	0	0	0
ENSMUSG00000105565	Gm43566	12	20	9	5	1	0
ENSMUSG00000105566	Obox4-ps4	0	0	0	0	0	1
ENSMUSG00000105567	Gm44305	0	0	0	0	0	0
ENSMUSG00000105568	Gm42971	0	0	0	0	0	1.99
ENSMUSG00000105569	Gm44450	0	0	0	0	0	0
ENSMUSG00000105570	Gm42682	3.37	8.88	7.28	8.94	5.69	2.34
ENSMUSG00000105571	Gm43662	12.71	25.76	18.32	8.56	3.93	3.93
ENSMUSG00000105572	Gm43300	21	53	49	57.02	51	6
ENSMUSG00000105573	Gm43384	0	0	0	0	0	0
ENSMUSG00000105574	Gm43648	0	2	4	0	0	0
ENSMUSG00000105575	Gm43475	0	0	0	0	0	0
ENSMUSG00000105576	Gm42164	0	0	0	0	0	0
ENSMUSG00000105577	Gm43208	0	0	0	0	0	0
ENSMUSG00000105578	Gm43663	317.49	645	540.4	364.42	309.51	454.06
ENSMUSG00000105579	Gm43251	2	1.72	1.72	2.62	0	0.56
ENSMUSG00000105580	Gm44454	0	0	0	0	0	0
ENSMUSG00000105581	Gm44393	0	0	0	0	0	0
ENSMUSG00000105582	Ighv1-68	0	0	0	0	0	0
ENSMUSG00000105583	Gm43777	0	0	0	0	0	0
ENSMUSG00000105584	Gm42588	3.34	24.56	8.84	15.48	12.91	2.61
ENSMUSG00000105585	Mir30f	0	0	0	0	0	0
ENSMUSG00000105586	Gm43009	70.65	154.02	108.05	159.95	150.68	132.82
ENSMUSG00000105588	Utp14b-ps1	0	0	0	0	0	4
ENSMUSG00000105589	Fbxw14	0	0	0	1	0	0
ENSMUSG00000105590	Gm43364	17.59	23.19	16.15	10.55	6.88	2.04
ENSMUSG00000105591	Gm43083	8	15.74	14.55	5.07	11.57	2.28
ENSMUSG00000105592	Gm42527	7.22	2.92	2.99	2.96	0	9.63
ENSMUSG00000105593	Gm42952	1	1	0	0	0	0
ENSMUSG00000105594	Gm43398	0	0	0	1	0	1.91
ENSMUSG00000105595	Gm23011	0	0	0	0	0	0
ENSMUSG00000105596	Gm42650	0	0	0	0	0	0
ENSMUSG00000105597	4633401B06Rik	19	53	28	21	18	4
ENSMUSG00000105598	Gm43186	0	1	3	0	0	0
ENSMUSG00000105599	Gm9238	0	0	0	0	0	0
ENSMUSG00000105600	Gm5987	7.48	5.94	3.85	0	1.49	1.34
ENSMUSG00000105601	Gm42725	29.54	87.95	55.6	45.25	45.18	20.96
ENSMUSG00000105602	Gm10636	2.44	3.64	5.33	6.59	8.82	2.12
ENSMUSG00000105603	Gm32996	0	0	0	0	0	0
ENSMUSG00000105604	Gm42838	0	0	1	0	0	0
ENSMUSG00000105605	Ighv1-86	0	0	0	0	0	0
ENSMUSG00000105606	Igkv2-109	2	0	2	0	0	0
ENSMUSG00000105607	Gm43513	12.05	25.74	12.66	19.22	28.56	7.81
ENSMUSG00000105608	Gm43408	0	0	0	0	0	0
ENSMUSG00000105609	Gm42501	0	0	2	0	0	0
ENSMUSG00000105610	AC125099.1	0	0	0.46	0	0.05	0
ENSMUSG00000105611	Gm42938	48.78	96.67	58.61	69.9	42.73	22.31
ENSMUSG00000105612	Gm44328	0	0	0	0	0	0
ENSMUSG00000105613	Gm43684	49.7	34.34	59.82	195.12	160.11	22.57
ENSMUSG00000105614	Dnd1-ps	0	0	0	0	0	0
ENSMUSG00000105615	Gm42792	0	0	0	0	0	0
ENSMUSG00000105616	Gm3010	0	0	0	0	0	0
ENSMUSG00000105617	Gm43809	6.26	0	3.11	0	2.88	0
ENSMUSG00000105618	Gm42916	0	0	0	0	0	1
ENSMUSG00000105619	9530034A14Rik	0	0	0	0	0	0
ENSMUSG00000105620	Gm43047	0	0	0	0	2.51	0
ENSMUSG00000105621	Mirlet7f-1	0	0	0	0	0	0
ENSMUSG00000105622	Gm42615	10.2	32.92	22.4	5.19	3.98	2.37
ENSMUSG00000105624	Gm43187	3.76	9.57	5.27	7.06	4.1	3.31
ENSMUSG00000105625	Gm31230	0	0	0	0	0	0
ENSMUSG00000105627	Gm43548	6	2	0	2	0	0
ENSMUSG00000105628	Gm43350	0	0	0	0	0	0
ENSMUSG00000105629	Trav7n-5	0	0	0	0	0	0
ENSMUSG00000105630	Gm42543	0	0	0	0	0	0
ENSMUSG00000105632	Gm43272	9.34	38.56	30.53	24.33	12.6	4.87
ENSMUSG00000105633	Gm32158	0	1.52	0	0	0	0
ENSMUSG00000105634	Gm43367	0	0	0	0	0	0
ENSMUSG00000105635	Gm44469	0	0	0	0	0	0
ENSMUSG00000105636	Gm43625	5.51	13.98	35.93	10.47	13.15	8.03
ENSMUSG00000105637	Gm42480	2	0	2	2	1	0
ENSMUSG00000105638	4930408K08Rik	0	0	0	0	0	0
ENSMUSG00000105639	Gm42516	3	1	1	4	3	0
ENSMUSG00000105640	Gm42912	3	0	2	1	0	2
ENSMUSG00000105641	Gm5853	0	7.79	0	0	0	0
ENSMUSG00000105642	Gm43134	0	0	0	1	2.64	4.13
ENSMUSG00000105643	Gm42611	64.07	168.94	131.72	80.68	70.01	27.45
ENSMUSG00000105644	Gm19739	173.97	109.11	188.03	193.21	172.31	16.36
ENSMUSG00000105645	Gm6649	0	1.25	1.19	25.65	0	0
ENSMUSG00000105646	Gm43291	0	0	0	0.6	0	0
ENSMUSG00000105647	Gm43695	0	5.55	1.31	2.94	0	0
ENSMUSG00000105648	Gm43505	0	0	0	0	0	0
ENSMUSG00000105649	Gm43494	0	0	0	1	2	0
ENSMUSG00000105650	Gm42889	2.01	0	1.02	8.41	2.38	3.95
ENSMUSG00000105651	Gm43003	2	0	1.9	0	2.25	0
